id,review_text,label
59,"Ulysses Errata Once Penned<br /><br />""Ulysses"" ruined spring for me, a day in the life of a century.<br /><br />Self-pleasuring made ominous, to sell books, an overt device.<br /><br />The ""Anabasis"" is far better a template, the Odyssey foreshadows earliest in the tale, fate.<br /><br />Leopold does not Bloom, a wife's infidelity, they barely share a bedroom.<br /><br />The most dangerous book is the tell-all coming up for publication. Those who have very pointed concerns about its release fret, sweat, run it through the mind until you have a collective of murderous revenge seekers.<br /><br />Virginia Woolf, Master Novelist, was right to dismiss James Joyce's work. It can only be a tepid ode to a Grecian epic poem.<br /><br />Chris Roberts, God Made Out Verticallybe found in all of Rodmell, or England for that matter.<br /><br />Once this is finished, I walk down to the river. At the water's edge I weigh myself down with stones, my very eyes in my pockets, and slip into the deep.<br /><br />Virginia Woolf, Chronicler of Life<br /><br />* And I, C.R. would add, Best Novelist of the 20th Century<br /><br />You are loved Virginia everywhere. James Joyce, not so much, if at all. A day in the life is a small view, excluding the other billions of lives per day.",Neutral
60,It is very helpful to keep the car cool for kids and protect them from heat of the sun while we travel.Easy to attach to the car windows and it really stuck there.,Neutral
61,Useless Christmas gift. Kept on trying to use it on different fabrics with no luck. Produces steam but not enough to do anything. Useless.,Negative
62,"J. D Salinger was righteous...<br /><br />Not in his scribblings, but in this case...<br /><br />No author photo...anywhere...on the book...<br /><br />On the cover especially, oh cover...<br /><br />This disastrous, forced T. C. Boyle pose...<br /><br />Fact, not fiction...<br /><br />The redhead is never the leading man...<br /><br />In moving pictures, still photography...<br /><br />Anti-hero, the step child...<br /><br />The somebody I don't want too see...<br /><br />Red blazer, black tee is all 80s...<br /><br />I suppose better off red, than dead...<br /><br />The font and manufactured stare...<br /><br />Scream bad album cover...<br /><br />Jesus Christ couldn't pull it off...<br /><br />But together we laugh...<br /><br />At T. C.<br /><br />And share a piece of bread...<br /><br />Get polluted on crushed wine...<br /><br />And we laugh some more...<br /><br />The young Jesus...<br /><br />Before the miracles, sermons...<br /><br />The Cross so far years away...<br /><br />We trip out on Led Zeppelin...<br /><br />Chris Roberts, God of Jesus Christ (The laughing Prophet)",Negative
63,"Pen Drive is very good in this budget, it works faster and no any problem yet, delivery was very fast.",Positive
64,"The product actually helped out in a lot of areas, particularly where my workout performance is concerned. But I was expecting it to burn fat. Maybe my research was wrong?",Neutral
65,This is a SMOKING HOT deal. This is the second unit in the last 2-3 weeks They work when you first plug them in but watch out. Somewhere between 1-5 charge cycles these things get so hot you can't touch them. Then they pop and smoke.....game over. No more charging.   The only reason I am giving this a 1 star is the returns have been easy. Reading all of the reviews it looks like about 1 in 3 are good chargers. I'm going to step up and pay the $$$$ for a real one this time.  Don't want to risk burning down the house over a $30 difference between junk and genuine Apple product. Yes it sucks but get yourself the real deal here http://www.amazon.vote/gp/product/B008ALAAV0,Positive
66,It really does work. I have been taking these for a month and a half and I have lost about 7 pounds. I am so happy that it works and that I have lost weight. I wanted to give it time before I wrote my review but it is totally worth trying!,Neutral
67,"I am a brown skin young lady who likes the look of a tan. I had a trip plan to Miami. Not wanting to sit outside in the damaging sun for long periods, I thought I would help my tan by using this product. For three days I used this product following the directions exactly as stated. This product did not work. My skin does not have any hint of a tan.",Positive
68,"This is a fun little gadget to use and I'm a happy camper. It works great and as described. I found the short videos easier to understand than the instructions on the accompanied manual, but you don't need any of those to know how to operate this thing. Very pleased with the tool, however I wish they included a few more recipes.",Positive
69,"When I made this purchase, I thought it was a expensive. But, it looked exactly like what I had in my mind. I was pleasantly shocked when it turned out to be high grade metal construction. It turned out to be an ornamental piece on my desk. There is no doubt in my mind: This will last a lifetime and look good doing it.",Positive
70,"$50 for some stinky tablets. Nothing, nada, no effect whatsoever. It's taking me awhile to write a review because I was trying to give them time to work. It wasn't until I landed up in the hospital (Not Because Of This Product) that I realized I blew 50 bucks. The Doc asked me all that I was taking and I gladly told him about this product thinking maybe it was the cause of my hospital stay (It was pneumonia) He and the nurse both sensed my fear and promptly me told me they were just glorified vitamins with big cheesy smiles on their faces. OH THE SHAME!!!!",Negative
71,"It of high quality and matched the exact product description. The camera might be a big tough for beginning digital photographers, but it's wonderful for me. I was familiar with most of the features but the instruction manual taught me several new things I could do.",Positive
72,I really felt like this product did absolutely nothing n I took it for two months. I'm kinda disappointed. :(,Negative
73,honestly skip the hand pump and get a real motorized one... yes they are expensive but have tremendous value.,Neutral
74,"I am always struggling with my weight. At college I lost the battle. I joined a Fraternity and from there on I gained 32 pounds. It's mostly due to fast food, and beer.<br /><br />I DECIDED to get back on track. I started to run, and do some hitting on a speed bag. With Garcinia Cambogia my appetite dropped and I don't eat as much as I used to.  So far I've lost 6-7 pounds.",Neutral
75,"This company sent me a email after i purchased this on eBay and asked me to review the product on amazon.  They probably should have asked me first what i thought, but here it goes. I bought it for use with my appradio3 and paid an additional $20 to have it installed. After about 2 days, it would not allow video to display constantly and just kept flashing between the warning message and the video about every 6 or 7 seconds. It was like one second of video followed by 6-7 seconds of warning message. It would do it over and over and got really annoying. I took it back to my installer, and they said it was installed correctly. I had no amps, or other stuff and my car does not need a radio module (older car here with no fancy computer stuff except for new pioneer radio). I agreed to an additional $30 removal to have the bypass bench tested and it did the same thing on the bench. The installer fed power to the blue and black wires, and connected an alarm led to the green wire. It did the same flashing on the bench it did in the car. For $20, i dont want to deal with the hassle of returning it, but it cost me more out of pocket and time to make it worth it. I do not know if the seller should be responsible for this, but i did lose out a lot of money due to their product so I am not sure if I should pursue it. I ended up buying another bypass from another company, and it has worked fine for over a month now. Maybe I just got a bad one or what, but it sucked to have to deal with it. Just my $.02 so take it or leave it. My emails to the company through their website still have went unanswered to date, and its been weeks. I searched online about this and diybypass is really a no-name company so go figure.",Neutral
76,"I'm not really sold on the flavor and texture of the contents. When a rather lazy roommate served this, it was a night of hilarity which involved some food throwing. Still, it might just me who is too picky.",Negative
77,"I am a coffee drinker and considered a pod machine but what the heck, just one cup? I studied the reviews and decided to go with this one. Have no problem with the plastic smell that some have mentioned. Two small negatives that I do have are the display is not lit and can not see in dim light and the sight gage is on the wrong side for the position I have it on the counter, but I can live with these, it makes a great cup of coffee.",Neutral
78,i love the necklace but in order to use them you really need to accessorize and the necklace is really good if you have accessories that can match up to it.<br /><br />it is just fortunate that I have some gothic looking items that can enhance the beauty of this item.,Positive
79,I recently bought this item and the case did not last more than a week.  I should give it more stars but I cannot.  But for the price.  I guess you can't complain!,Neutral
80,"My 19 month old loves these videos, especially the shapes DVD for some reason. She can say circle and star now, and recognizes some others when she plays with her [[ASIN:B0089W1IGG Baby's First Blocks]]. She can also count from one to five, and names a few letters here and there.<br /><br />I give the videos credit that they hold her attention and she has learned a lot from them. They are slow paced and not too flashy like most cartoons on TV. The animations are colorful and the music is decent.<br /><br />However, they get boring for adults to watch. The videos repeat the word over and over again, which gets tiring for me to listen to. In all fairness the repetition definitely helps her to learn faster so I guess I should just deal with it.<br /><br />Pros:<br /><br />* The videos work well.<br />* My daughter loves them.<br /><br />Cons:<br /><br />* Boring for adults to watch.",Positive
81,Used it in the last few days. It is well made and appears to have high strength and<br />does its job well.,Neutral
82,Toasts bread really nice and looks good on my counter. I haven't had any uneven burns yet and the toaster makes my kitchen look like it has this heavy machinery vibe.,Neutral
83,"I love it. It fits really well in the driver's seat. I'm not used to driving long distances that's why I ordered this one for back support. I tried it first on my computer chair and it really feels comfortable. I like the material of the cover made too. It's soft and very nice material. I tried it on the driver's seat as well and it's perfect. It helps me relaxed my back don't need to actually pull the driver's seat forward. I think I made a great decision in buying this Lumbar cushion. The only thing that I'm worried is the durability of this cushion. I think it's good if you don't use it too much because I feel like it's not hard enough not to sag after couple years. I hope I'm wrong. But you know what, it's perfect for the present and for probably the coming whole year.",Positive
84,Goes on thick but absorbs well and leaves my skin smooth and soft with a light scent of cucumber. a little goes a long way and too much can feel greasy so start with just a dab or two.,Neutral
85,This item would have been a nice item however the rain shower head is the first thing I seen an was looking for that item. Big surprise when it arrived a seen this very tiny shower head. What I have standard is bigger. Very disappointed. Returned it.,Negative
86,"These are my &#34;go-to&#34; earrings. Very comfortable and the style is great. The only downside (to me) is the wire is so curved they are a little hard to get on, but I guess that means they won't come out (inadvertently) either.",Neutral
87,"Of all the natural oils, I believe this is the best and the one every girl needs.<br />Definitely see a difference in my skin after just 3 weeks of use. And the oil smells very pleasant.<br /><br />Absorbs quick into my face. However, I took a star off because of the dispensing method. I hope they have a dropper or pump.",Neutral
88,"The Holidays are here and so are the extra pounds. Need something to help get the extra weight maintain, Been taking this for the last couple of weeks been eating like crazy and no weight gained which is a good sign, but no weight lost either. Maybe after the holidays I will notice the weight loss because I wont be eating as much.",Neutral
89,"These are odd slippers, they fit great for a day or so and then felt very large. I either shrunk or they stretched out. I have a normal sized foot and they now seem wide and loose. So instead of walking in them I have to shuffle around in them like an old man. For now they will do... I will look around and see what else I can find.",Neutral
90,This organizer arrived today and as soon as I opened the box I was completely DISAPPOINTED at how cheap it looked. I would have rated it NO STARS if I could have.  I have purchased many many acrylic organizers and this is the first time I have ever so sad about one that I purchased.  I will be returning it tomorrow due to it being extremely poor quality.,Negative
91,"I can feel how I lose belly fat, It is like magic. I never thought this kind of product exist. After started with some cardio 3 day a week the result are even better. Unreliable result, must try it",Positive
92,"I have to say that I am pleased with my decision to purchase one of these humidifiers.  The air in my house gets very dry at times and I have woken up to a nose bleed.  That is not a good feeling to waking up to, so I chose to buy one to help with my house and to put moisture in the air.  I can tell a difference in the house already.",Neutral
93,The wife in her ever ongoing weight control regimen has landed on this product with it's 250mg of Forskolin. She likes that it is easy to swallow size and no bad after taste. She has not been late night snacking as much as usual and feel's comfortable that she will lose more than 3 pound's than she has lost in the last week.,Positive
94,"The keys! They actually feel mechanical, even though they are membrane. They have a sort of tactile feedback without the noise of springs. I would (almost) argue that they have a better feeling then Cherry MX, but are slightly harder to type on.",Neutral
95,My girlfriend and I always use condom because we don't want to mess up.<br />This brand really helps us a lot.<br />I would definitely recommend this!,Positive
96,It was well worth the money. I would definitely order it again. It is heavy and warm. You would love it. The only thing is trying to stick it back in the bag. Warm that is for sure.,Positive
97,I thought this was shatter proof my baby (one and a half year old) dropped it to the floor and it broke. Will try customer service and c if they will replace...,Neutral
98,"I enjoy taking a nap when I get home from work. This product not only helps me sleep better, but does so in a way that wont ruin my makeup. The shape of the eyes makes it so that it doesn't even touch your eyelids, so your eye make-up will survive the nap. My only issue with the mask is that light seeps in a bit around the nose.",Positive
99,"It was so poorly made that it was damaged in getting delivered, twice. I had to keep the second one because my son was going to camp and we needed it right away. Looks nice and rolls nice, but eh box is made of a thin material and rivets were missing and dents. A quality footlocker would have withstood the shipping.",Negative
100,"I haven't been taking it for very long but I'm excited by the simplicity of the ingredients list!  The capsules are labelled as &#34;Veggie Capsules&#34; which is slightly confusing because no where does it list what exactly is in the pills, just &#34;Forskolin Blend&#34; which...could really be anything.  I plan on doing a little more research on this &#34;Coleus Forskohlii root extract&#34; :)<br /><br />Love as always,<br />~Heather",Neutral
101,"I started taking Gingko Biloba about 7 months ago because, as I've grown older, I've noticed that my brain processes have slowed down and become a bit muddled.By taking this product TWICE a day for the last 7 months, that 'muddy' sensation in my brain is gone, I can remember the little things that i would normally forget, and I'm able to learn new tricks on my computer again. Thank heavens! I take one pill in the morning and another in the evening.  I am not sure if I will ever stop taking these, they help so much.  I do take the brain teasers online as well and that seems to help with my brain function as well.",Positive
102,I love how my face feels after using this. I normally use a clay mask but I think I will continue using this one instead.,Positive
103,I used to Nioxin and really liked it until they changed their formula and lab to mexico.<br /><br />I tried this and its a good cleansing shampoo for what it is but it hasn't help with my scalp or flakes at all.<br /><br />I does smell good and the price is reasonable compared to other brands but I really wished it had worked for me.<br /><br />I will continue to use it and update if it does (and upgrade the stars too),Neutral
104,"For the price, this is a pretty good receiver, but if you are wanting soemthing that gives you a lot of options and will last a really long time, then I would suugest going with the Onkyo TX-NR616 7.2 version.<br /><br />http://www.amazon.com/gp/product/B0077V88W2/ref=as_li_ss_tl?ie=UTF8&camp=1789&creative=390957&creativeASIN=B0077V88W2&linkCode=as2&tag=wwwworkoutwei-20",Positive
105,"Doesn't do a bad job of keeping things running a bit cooler when I'm working the CPU (usually compiling), not sure how well it would work for laptops with larger screens though (using it with a 15.4"").",Neutral
106,"These did not fit my printer even though they were numbered correctly. Speedy Ink included a free pack of photo paper in the mailing, but it was small consolation given I couldn't print. I hope this was a fluke because packaging and shipping = commendable.",Neutral
107,"I have been using it for one week now and I can say it's really amazing. It contains charging station, AC adapter, the charging station has two docks, and you can put the controllers with charging or without charging.",Positive
108,it was exactly what I was looking for and the price was very good and I would recommend it to everyone thank you,Positive
109,Much more difficult to use any regular ice tray. The circles don't always come out circular and there's only four cubes in one tray which isn't nearly enough. Even though they give two trays they are still somewhat difficult to use. They banned a lot and are hard to fill with water,Neutral
110,I love these bedsheets. I thought all I ordered was the fitted but actually got the whole set! The price was very reasonable the quality is great. This is the second set I have used and have been happy. Will order another one so I have three sets. I only use this even during the summer months.,Positive
111,I got this from my best friend. we tried it and at first you would really love the smell. its soooo yummy.  YOu will want to lick it off your face. but dont!. I don't find it to be as effective as it says. I've put it on for about 4 times now.  dont see any change really. But i do love the smell.,Positive
112,I really enjoy the scent of this Rosemary oil. It isn't super strong but it does the job. I keep it around for late nights and early mornings. Perks me right up so I can get through.,Positive
113,"Was pretty cheap and works just fine. Holds a good bit of video and pictures, which I needed. I'm a blogger. Formatted fine with my camera and was compatible for my computer. Mac Book Pro.",Positive
114,"We changed from swaddlers to cruisers when our baby started to crawl excessively. The diapers moved with her better and gave a lot better coverage. Swaddlers were not so leak proof with an active baby. I think she also likes the these better- she seems to smile when she sees them. There've been some changes in the last pack compared to original cruisers though. There liner is the same color as the diaper again and they're thinner. Sometimes the thinner consistency poses a problem, sometimes it does not. It really depends on the day and how much she's gotta go.<br /><br />They seem to hold well overnight- no leaks, but it's not as dry either. As a result, our poor little Lucy has got some diaper rash a few times. She's a screamer when she's got it bad. In those instances we use a heavy strength rash cream by bourdeaux butt paste brand: [[ASIN:B00BMIT1U4 All Natural Boudreaux's Butt Paste Diaper Rash Ointment + FREE Aveeno Baby Daily Moisture Lotion]]. It absorbs well so it's not left all messy and residue on the diaper when you put a fresh one on. Anything still there at the next change wipes right off her bottom with ease too.",Neutral
115,"Will def light up your bedroom!!It fits me fine and is made out of excellent material!!Nice! A great product, could def see buying another in a diff. color in the near future.",Positive
116,Fan-Freaking-Tastic  My girl got me this and I laughed and now I'm serious with a beard. I can not vouch for this enough as I have not been able to grow a connecting beard since forever. I'm 32 and I should be able to have a beard and now I do. GREAT GREAT GREAT Product.,Positive
117,"I have been taking this product along with other vitamins and I have noticed some difference in my energy. I have also lost a couple of pounds, but I have begun exercising as well.",Neutral
118,"I'm enjoying my very first Perlier purchase! It's working well and the 99% Shea will last me a long time. I just scrape a little off, let it melt in my hands, and smooth over dry elbows and heals. It doesn't quite last a full day for me, but close!",Neutral
119,"There's a lot of mixed reviews...I just want to start by saying each diaper is going to work differently on each baby! They're not all shaped the same, they don't all go to the bathroom the same. It takes patience to find the right diaper for your baby. Just because my friend prefers swaddlers doesn't mean I do too. The Pampers Baby Dry is a good fit for my child. She's pretty small and long. I've noticed my friends with fuller, thicker babies don't have as much good luck. But for me, this is a great, thin, super-absorbant diaper that works well. The price is a great value as well.<br /><br />Be aware though, no diaper will elimnate diaper rash! Despite how absorbant your diaper choice is, your baby will still at some point have diaper rash. My best luck has been butt paste diaper cream ([[ASIN:B00BMIVQ3E All Natural Boudreaux's Butt Paste + FREE Baby Ganics Thick N' Kleen (Fragrance Free) Baby Wipes]]) because it seals up the sensitive skin and I can still re-diaper my girl right away without a lot of fuss. With diaper rash and rash cream, make sure the diaper doesn't rub anywhere to hard and that they've got some flexibility. The Baby Dry leaves plenty of room for my baby.",Positive
120,no good looms. at least they're cheap dint wreck my budget. but now i have to buy another pack for my niece. I'll just be getting from the store nearby,Neutral
121,This is a great tackle box for small scale freshwater fishing because of its size. The tackle that comes with this box is very minimal so you will need to purchase a lot of other tackle. Overall this is a great box for the price.,Neutral
122,"Good product, especially for the price. I can hear and be heard clearly on the headset.Love this Bluetooth. Can't really tell that you're wearing it and the clarity is great",Positive
123,Got the walker for my father who is 85 and needs help getting around. It helps with the walking and standing more upright.. Great walker at a great price.,Positive
124,I am adding this to my tattoo aftercare. If it promotes healing from within then I don't see anything wrong with that.,Neutral
125,Best rake I ever had. Seems durable. Its quite light weight which makes me feel that i'm gonna break the rake.,Positive
